"";"Q1";"Q2";"Q3";"Q4";"Q5";"Q6";"Q7";"Q8";"Q9";"Q10";"Q11";"Q12";"Q13";"Q14";"Q15";"Q16";"Q17"
"88";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo parcialmente";"Concordo fortemente"
"89";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo parcialmente";"Concordo parcialmente"
"90";"Discordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo parcialmente";"Não concordo nem discordo";"Concordo"
"91";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Concordo parcialmente"
"92";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo";"Concordo";"Concordo fortemente"
"93";"Discordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo parcialmente";"Concordo fortemente"
"94";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo";"Concordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente";"Discordo fortemente"
"95";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo";"Não concordo nem discordo"
"96";"Concordo";"Discordo";"Concordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo"
"97";"Discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente"
"98";"Concordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo"
"99";"Discordo fortemente";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo parcialmente";"Discordo";"Concordo"
"100";"Discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo";"Discordo";"Concordo";"Concordo fortemente"
"101";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente"
"102";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo"
"103";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo"
"104";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente";"Discordo parcialmente";"Concordo"
"105";"Discordo";"Não concordo nem discordo";"Concordo";"Concordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo"
"106";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo"
"107";"Discordo";"Discordo";"Discordo";"Concordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente"
"108";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo"
"109";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente"
"110";"Discordo fortemente";"Discordo";"Concordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Concordo";"Discordo parcialmente";"Concordo";"Concordo fortemente"
"111";"Discordo fortemente";"Discordo";"Discordo";"Concordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente"
"112";"Discordo";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Discordo fortemente";"Concordo parcialmente"
"113";"Discordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Concordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo"
"114";"Discordo fortemente";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Concordo parcialmente";"Concordo fortemente"
"115";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo parcialmente";"Concordo fortemente"
"116";"Discordo";"Não concordo nem discordo";"Concordo";"Concordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo parcialmente";"Não concordo nem discordo";"Concordo"
"117";"Concordo fortemente";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Concordo";"Concordo fortemente"
"118";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo";"Não concordo nem discordo";"Concordo"
"119";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente"
"120";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo parcialmente";"Discordo";"Discordo";"Concordo fortemente"
"121";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Concordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo"
"122";"Concordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Concordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo parcialmente"
"123";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Concordo"
"124";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Concordo";"Discordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente"
"125";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente"
"126";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo parcialmente";"Não concordo nem discordo";"Concordo fortemente"
"127";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo";"Discordo parcialmente";"Discordo fortemente"
"128";"Concordo";"Discordo";"Concordo";"Discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo";"Não concordo nem discordo";"Discordo parcialmente"
"129";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Concordo fortemente";"Concordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo"
"130";"Discordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo"
"131";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente"
"132";"Não concordo nem discordo";"Discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo parcialmente";"Concordo parcialmente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente"
"133";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Concordo parcialmente";"Discordo";"Concordo";"Concordo";"Discordo"
"134";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Concordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente";"Concordo parcialmente";"Discordo fortemente";"Concordo parcialmente"
"135";"Concordo";"Discordo";"Discordo";"Discordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo"
"136";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo";"Concordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente"
"137";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente"
"138";"Discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo";"Concordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo"
"139";"Discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Concordo parcialmente"
"140";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo"
"141";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo"
"142";"Discordo";"Concordo";"Concordo";"Discordo";"Discordo";"Discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente"
"143";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo parcialmente";"Discordo";"Discordo fortemente";"Discordo parcialmente"
"144";"Discordo";"Discordo";"Concordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo";"Concordo fortemente"
"145";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo";"Discordo parcialmente"
"146";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente"
"147";"Discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo";"Concordo fortemente"
"148";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo";"Discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente"
"149";"Discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Concordo parcialmente";"Discordo parcialmente"
"150";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo"
"151";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo parcialmente";"Concordo fortemente"
"152";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo";"Concordo";"Concordo fortemente";"Concordo";"Concordo fortemente";"Concordo";"Concordo fortemente";"Concordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente"
"153";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo fortemente";"Discordo";"Concordo fortemente"
"154";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo"
"155";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo parcialmente"
"156";"Discordo fortemente";"Discordo";"Concordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente";"Concordo fortemente";"Discordo"
"157";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo"
"158";"Discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente";"Concordo parcialmente";"Concordo parcialmente";"Concordo"
"159";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo parcialmente";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente"
"160";"Concordo";"Discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente";"Discordo";"Concordo parcialmente"
"161";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente"
"162";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente"
"163";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente"
"164";"Discordo";"Discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo parcialmente";"Concordo parcialmente";"Discordo parcialmente";"Concordo parcialmente"
"165";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Concordo parcialmente";"Discordo";"Discordo";"Concordo"
"166";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo fortemente"
"167";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente"
"168";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo parcialmente"
"169";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente";"Discordo fortemente"
"170";"Concordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo parcialmente";"Discordo";"Discordo fortemente"
"171";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo"
"172";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo parcialmente";"Não concordo nem discordo";"Concordo parcialmente";"Concordo parcialmente"
"173";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo"
"174";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Concordo fortemente"
